USI Code,Name,Address - Street,City,MPN,Contract Start Date,Contract End Date,Transaction Date,Level 4 Code,Level 5 Code,Tenure (months),Product Name,Unique ID,Product ID,Product ID_source,Product Name_source,Version_source,Customer Name_source,Customer ID_source,Purchase Date_source,Store Name_source,Store Location_source,Price_source,Payment Method_source,Promotion/Discount Applied_source,Warranty Period_source,Product Condition_source,Product Category_source,Product Serial Number_source,Return/Exchange Status_source,USI_source
3321e149-45fb-4a1e-bc2a-abcb80df4a8a,Melinda Taylor,0671 Sheri Oval,East Jamieside,(499)057-6239x7832,2020-04-27,2023-05-09,2020-06-16,2291,4105,59.0,Phone,0f5d2cf6-a057-4929-a127-efa07e4de634,3d541dcd,P2053,Apple Watch Ultra,49mm,Melinda Taylor,CUST1053,11/26/2023,B&H,"Houston, TX","$2,467",Online Payment,Back to School Sale,3 years,New,Laptop,IJ2645897786,Exchanged,3321e149-45fb-4a1e-bc2a-abcb80df4a8a
73bab8ce-2d24-4b8a-b84a-17126dc436c7,Thomas Hamilton,23375 Nancy Spurs Apt. 798,Esparzafort,752-392-5692x537,2019-10-14,2024-02-05,2023-09-29,2092,6359,1.0,Phone,3d541dcd-8124-430f-b4d2-729a85955fc4,3d541dcd,P2060,Dell XPS 15,512GB,Thomas Hamilton,CUST1060,7/16/2022,Amazon,"Denver, CO",$548,Debit Card,VIP Discount,2 years,New,Laptop,IJ6835880666,Returned,73bab8ce-2d24-4b8a-b84a-17126dc436c7
7b5516b4-831d-4d53-9078-ebc4b41aa39f,Jill Smith,34296 Faith Keys Apt. 907,South Jonathan,(833)036-7919,2018-11-18,2022-06-13,2022-12-27,3395,4803,49.0,Tablet,ef018544-333d-4d81-b0c9-28e90b56ba19,01dc1d3a,P2035,HP Spectre x360,16GB RAM,Jill Smith,CUST1035,11/16/2023,B&H,"Philadelphia, PA",$742,Online Payment,Back to School Sale,3 years,New,Smartwatch,GH5100661503,Not Returned,7b5516b4-831d-4d53-9078-ebc4b41aa39f
baf8b6b1-429c-4a83-84f3-440da6dc61d1,Sandy Simmons,4921 Silva Lake Apt. 755,Davidstad,4854429403,2019-06-29,2019-11-26,2020-08-04,4677,6166,18.0,Tablet,10dbd460-5c77-4b3f-a34d-b12c2b4a4ec1,01dc1d3a,P2017,"iPad Pro 12.9\"\"",16GB RAM,Sandy Simmons,CUST1017,3/6/2022,Microsoft Store,"New York, NY",$391,Debit Card,VIP Discount,2 years,Refurbished,Smartwatch,CD1606232875,Not Returned,baf8b6b1-429c-4a83-84f3-440da6dc61d1
3bd113ef-98df-4602-b020-7feb9f170a59,Amy Griffin,69435 Jennifer Burgs Suite 617,Jenniferville,001-446-841-4195x961,2018-05-18,2020-01-31,2020-09-09,8868,2491,59.0,Tablet,b5963205-af85-4aa8-8420-a111cfc1a749,01dc1d3a,P2097,"MacBook Air 13\"\"",49mm,Amy Griffin,CUST1097,7/5/2023,Staples,"San Antonio, TX","$1,262",Cash,Spring Sale,2 years,New,Accessory,IJ8891878365,Returned,3bd113ef-98df-4602-b020-7feb9f170a59
4758225d-2155-4ae2-b0fc-4c9c804cf22a,Kevin Jones,2155 Edward Rest Suite 349,Shepardland,(383)864-2108,2018-05-27,2020-07-23,2021-03-26,2986,7303,17.0,Smartwatch,3b0346a0-f9b4-4191-9c33-83cff44288e6,000AA,P2011,"iPad Pro 12.9\"\"",8GB RAM,Kevin Jones,CUST1011,2/17/2021,Staples,"Miami, FL","$1,850",Credit Card,10% off,2 years,Refurbished,Laptop,AB2512843179,Not Returned,4758225d-2155-4ae2-b0fc-4c9c804cf22a
6be1bb53-cb2c-4b4a-a410-47383787cb02,Ryan Wood,12076 Strong Junctions Apt. 151,North Jenna,001-552-609-8220x969,2019-11-11,2021-11-18,2020-08-29,6753,6126,54.0,Smartwatch,bb28fb32-2342-4a33-9280-98ba80193a06,000AA,P2023,Surface Pro 9,256GB,Ryan Wood,CUST1023,5/28/2021,Target,"Chicago, IL","$1,996",Cash,VIP Discount,1 year,Refurbished,Laptop,CD9532879006,Not Returned,6be1bb53-cb2c-4b4a-a410-47383787cb02
2a951c79-529d-4f19-b7c7-6627912b7694,Elizabeth Madden,70894 Amber Throughway,New Catherinemouth,001-585-870-9443,2018-11-29,2021-08-17,2019-07-29,5237,9668,18.0,Tablet,99227dbc-beac-433d-ba2d-cf32e7123598,01dc1d3a,P2064,Apple Watch Ultra,16GB RAM,Elizabeth Madden,CUST1064,4/3/2021,Costco,"San Antonio, TX","$1,465",Online Payment,Back to School Sale,2 years,Refurbished,Smartwatch,CD4081175843,Exchanged,2a951c79-529d-4f19-b7c7-6627912b7694
7be0237d-6c1f-4059-9c8f-7e28fd102a46,Jamie Pittman,67481 Kelsey Point,West Theodoreshire,(315)644-8383x84772,2019-02-12,2019-06-01,2018-11-29,4059,8570,9.0,Tablet,927dc6bb-435b-4530-97a8-2140d627515b,01dc1d3a,P2002,"iPad Pro 12.9\"\"",8GB RAM,Jamie Pittman,CUST1002,10/22/2020,Microsoft Store,"Denver, CO","$1,043",Online Payment,Back to School Sale,2 years,New,Smartwatch,AB6847006528,Returned,7be0237d-6c1f-4059-9c8f-7e28fd102a46
05dc564d-caef-4a5d-af38-5670642c101f,Garrett Fox,7057 Jeffrey Spur Apt. 239,Hannahland,698.414.8748x03966,2021-06-25,2024-08-17,2021-08-07,8767,7046,22.0,Smartwatch,8b999a55-fa2d-46aa-8fe9-a5ecbc60b4a5,000AA,P2009,Google Pixel 8 Pro,512GB,Garrett Fox,CUST1009,6/20/2023,Staples,"Los Angeles, CA","$1,238",Credit Card,10% off,1 year,New,Tablet,CD5034076135,Not Returned,05dc564d-caef-4a5d-af38-5670642c101f
b2ac1d43-d92e-4f10-b708-e213de0f1c50,Gerald Horn,4530 Osborne Groves Apt. 517,Melendezburgh,(517)062-1330,2018-04-10,2020-03-08,2021-01-10,7534,3320,22.0,Tablet,01dc1d3a-7193-4a44-a3a3-e493de4ee4d8,01dc1d3a,P2089,iPhone 15,49mm,Gerald Horn,CUST1089,12/26/2020,Staples,"San Diego, CA","$2,366",Online Payment,Spring Sale,1 year,Refurbished,Headphones,CD7838485540,Returned,b2ac1d43-d92e-4f10-b708-e213de0f1c50
41e7fa5a-11e9-4b88-a42c-14f3b5129adc,Michael Garcia,5738 Collins Drive,Briggsburgh,+1-452-866-3173,2021-11-29,2024-05-15,2020-09-13,4072,9314,23.0,Smartwatch,10214fb1-a416-45a9-81cd-82edb2c0151b,000AA,P2025,Apple Watch Ultra,128GB,Michael Garcia,CUST1025,11/16/2020,Costco,"Denver, CO","$1,123",Credit Card,Black Friday Sale,2 years,New,Smartphone,EF1787357478,Returned,41e7fa5a-11e9-4b88-a42c-14f3b5129adc
