Product ID,Product Name,Version,Customer Name,Customer ID,Purchase Date,Store Name,Store Location,Price,Payment Method,Promotion/Discount Applied,Warranty Period,Product Condition,Product Category,Product Serial Number,Return/Exchange Status,USI
P2000,Surface Pro 9,128GB,James Williams,CUST1000,5/20/2020,Apple Store,"Miami, FL","$1,366 ",Online Payment,None,1 year,New,Accessory,CD1345282532,Exchanged,6de041e9-66e4-4271-9d45-d0dbcfde2b2d
P2001,Sony WH-1000XM5,8GB RAM,Linda Davis,CUST1001,7/9/2021,Newegg,"Chicago, IL","$1,848 ",Debit Card,None,1 year,Refurbished,Accessory,EF5495582762,Exchanged,7b483e31-c16b-4215-9ca3-af4f025310d1
P2002,"iPad Pro 12.9""",8GB RAM,Jamie Pittman,CUST1002,10/22/2020,Microsoft Store,"Denver, CO","$1,043 ",Online Payment,Back to School Sale,2 years,New,Smartwatch,AB6847006528,Returned,7be0237d-6c1f-4059-9c8f-7e28fd102a46
P2003,Apple Watch Ultra,16GB RAM,Carrie Walton,CUST1003,12/20/2021,Apple Store,"San Antonio, TX","$1,317 ",Credit Card,10% off,1 year,New,Smartphone,IJ5059257376,Exchanged,e215dfd2-e9dd-42f5-8392-cc81691806c6
P2004,Samsung Galaxy S24,512GB,Justin Glover,CUST1004,11/21/2020,Costco,"New York, NY","$2,139 ",Cash,Seasonal Sale,1 year,New,Smartwatch,CD1272208708,Exchanged,b00fb436-a0f5-44fc-a8a3-a0232077bfb8
P2005,Surface Pro 9,8GB RAM,Jessica Davila,CUST1005,4/10/2020,Apple Store,"Phoenix, AZ","$1,148 ",Cash,Back to School Sale,2 years,Refurbished,Laptop,GH5360687545,Not Returned,958a36c2-d6c4-46f5-805e-d082e1fcc38a
P2006,Apple Watch Ultra,8GB RAM,Gina Owens,CUST1006,8/9/2023,Newegg,"Philadelphia, PA",$542 ,Credit Card,VIP Discount,3 years,Refurbished,Laptop,GH1918449810,Not Returned,73d3f8c9-f225-4bc7-8f8f-6a1719e5972f
P2007,"MacBook Air 13""",256GB,Kristy Black,CUST1007,12/16/2021,Newegg,"San Antonio, TX","$1,345 ",Online Payment,Seasonal Sale,3 years,New,Laptop,AB3604933629,Exchanged,9b050961-f98b-49ae-ad0d-5282803cd9d0
P2008,iPhone 15,8GB RAM,Jennifer Gutierrez,CUST1008,7/23/2021,BestBuy,"Phoenix, AZ","$1,179 ",Debit Card,Black Friday Sale,2 years,Refurbished,Smartphone,GH4289960279,Not Returned,70bec800-3eb3-46a5-88a6-083c50c674ac
P2009,Google Pixel 8 Pro,512GB,Garrett Fox,CUST1009,6/20/2023,Staples,"Los Angeles, CA","$1,238 ",Credit Card,10% off,1 year,New,Tablet,CD5034076135,Not Returned,05dc564d-caef-4a5d-af38-5670642c101f
