USI Code,Name,Address - Street,City,MPN,Contract Start Date,Contract End Date,Transaction Date,Level 4 Code,Level 5 Code,Tenure (months),Product Name,Unique ID
6de041e9-66e4-4271-9d45-d0dbcfde2b2d,James Williams,95131 Kayla Forge Suite 036,Lake Andrealand,1661158586,,,2021-05-10,5061,8934,,,35ad412a-01a0-4612-89ea-ccca29d7516e
7b483e31-c16b-4215-9ca3-af4f025310d1,Linda Davis,7731 Gallegos Port Suite 853,Port Davidstad,523.612.9796x2940,2020-10-02,,2023-01-03,1054,8744,,Smartwatch,94f666cc-14cf-4590-a716-4171b78bec84
7be0237d-6c1f-4059-9c8f-7e28fd102a46,Jamie Pittman,67481 Kelsey Point,West Theodoreshire,(315)644-8383x84772,2019-02-12,2019-06-01,2018-11-29,4059,8570,9.0,Tablet,927dc6bb-435b-4530-97a8-2140d627515b
e215dfd2-e9dd-42f5-8392-cc81691806c6,Carrie Walton,0990 Cheryl River Suite 947,New Seanfurt,001-552-163-3554x38500,2021-07-04,,2022-08-28,9935,7846,,Smartwatch,044ddc6a-2e75-424d-af5d-fd5abe24e97e
b00fb436-a0f5-44fc-a8a3-a0232077bfb8,Justin Glover,423 Gabriela Plaza Apt. 105,Kathrynhaven,924-621-1920,2018-12-18,2022-08-26,2020-03-26,1685,7507,21.0,,6ca38496-6946-4ad5-81bf-84b6fcddf39d
958a36c2-d6c4-46f5-805e-d082e1fcc38a,Jessica Davila,8685 Joshua Circle,Ashleyland,001-798-716-6597x71353,2019-09-09,,2022-04-07,7798,5678,,Smartwatch,3d4ba887-e8f7-4052-ac08-d471d546614b
73d3f8c9-f225-4bc7-8f8f-6a1719e5972f,Gina Owens,78832 Larry Corner,Jenniferfort,001-551-512-9931,2018-10-17,2022-09-02,2018-09-22,1091,6792,21.0,Phone,77829507-f689-4bad-90e2-ae7d4852bc6d
9b050961-f98b-49ae-ad0d-5282803cd9d0,Kristy Black,5072 Taylor Manor,Port Carol,280-961-4082x5074,2021-02-02,2024-12-25,2022-10-29,4905,5850,10.0,Tablet,7ad0b3c6-57b2-48ac-8c8b-1b41c2d2085e
70bec800-3eb3-46a5-88a6-083c50c674ac,Jennifer Gutierrez,0048 Hines Wells Suite 351,Lake Danielleshire,566-083-5069,2021-01-15,,2023-09-24,8424,1541,,Phone,2f5539ad-5647-4617-a88d-9ae81481f89b
05dc564d-caef-4a5d-af38-5670642c101f,Garrett Fox,7057 Jeffrey Spur Apt. 239,Hannahland,698.414.8748x03966,2021-06-25,2024-08-17,2021-08-07,8767,7046,22.0,Smartwatch,8b999a55-fa2d-46aa-8fe9-a5ecbc60b4a5
ebfb8493-9f49-4a20-851e-c8f5dbe8f4c3,Russell Bennett,2368 Thomas Flats,Erinborough,(369)440-8041x39583,,,2023-07-04,9579,9483,,Smartwatch,e8e040af-3db3-4580-b495-e16fdb9b710f
4758225d-2155-4ae2-b0fc-4c9c804cf22a,Kevin Jones,2155 Edward Rest Suite 349,Shepardland,(383)864-2108,2018-05-27,2020-07-23,2021-03-26,2986,7303,17.0,Smartwatch,3b0346a0-f9b4-4191-9c33-83cff44288e6
2698e633-6433-42ca-8a71-d77ab7b223ab,Katherine Franco,453 David Stream Suite 512,North Ashleymouth,(523)715-9694x90584,2020-03-24,,,4548,1236,,,21870257-3556-47a7-ba8b-1039bd2101fd
c9855eac-25ee-4b36-95c4-db741a650279,Lisa Thompson,09488 Lucas Fork,Amyfurt,992-295-5769x411,2022-04-14,2023-12-01,2023-02-16,5823,8204,57.0,,ce6f89e3-4b21-4f69-96f2-e931b76b7686
5c9e7df4-587d-4889-8985-68c65205916f,Michael Olson,2721 Brooke Meadows Apt. 104,West Theresastad,(501)324-4991,2021-08-17,2023-06-08,2020-10-19,5505,1033,59.0,,7331afb7-9399-428b-842f-bd0d6f6338f7
51866b68-288e-4802-8686-73ffecb74377,Melanie Short,911 Tonya River Apt. 374,Christopherbury,(637)431-2998x745,,,,5794,3791,,Smartwatch,f22438c5-02a0-42c4-9cb1-483661489cb5
233a085c-5bb3-4852-8c14-056c765765b9,Angel Harris,54343 Jasmine Spurs,South Jackson,+1-827-470-0703,2021-03-19,2022-08-13,2018-02-16,6075,8072,42.0,Tablet,817c5802-da1e-4f45-9eef-4a92301c55da
baf8b6b1-429c-4a83-84f3-440da6dc61d1,Sandy Simmons,4921 Silva Lake Apt. 755,Davidstad,4854429403,2019-06-29,2019-11-26,2020-08-04,4677,6166,18.0,Tablet,10dbd460-5c77-4b3f-a34d-b12c2b4a4ec1
da0d1b26-5b28-40e4-8b2d-e8aa05810f14,Michele Miller,421 Vincent Wells Suite 408,South Tonyamouth,(544)826-7943x168,2019-09-13,,2021-11-02,5084,5761,,Smartwatch,91b57279-e4d6-4841-a837-50e7af606808
cdcbd293-da2c-4331-9256-c4d22caa63ca,Aaron Martin,825 Thomas Trail Suite 053,West Michael,(017)791-7996,2020-06-29,2023-08-19,2022-10-08,5782,1571,13.0,,6dc13569-756e-4ce4-a81d-5519d7ed9d8d
f4064964-6ce2-4857-91f8-c312823c39d3,Amy Allen,9984 Davis Lock,Lake Antoniochester,(819)999-0126,2019-12-11,2024-06-21,2020-10-20,4300,1166,14.0,,01897dc2-e9bb-476b-93d6-cf7c7556504b
3d45fa9d-6d84-49be-86f6-00ec5e52bce4,April Kirby,398 Green Mews Suite 069,Stewarttown,001-629-121-8018,2022-07-03,2022-10-04,2021-12-02,1315,5108,36.0,Phone,553d9315-7332-492c-a27f-ccda311faafa
1145dbf8-b8d7-46f3-9ded-e1a4f63aa9d1,Maria Oliver,792 Yoder Wall Apt. 882,Castroland,(875)378-3045,2022-01-22,2022-01-31,2021-01-15,2498,5136,50.0,,c44f68c8-f72f-4036-b557-520bed990d88
6be1bb53-cb2c-4b4a-a410-47383787cb02,Ryan Wood,12076 Strong Junctions Apt. 151,North Jenna,001-552-609-8220x969,2019-11-11,2021-11-18,2020-08-29,6753,6126,54.0,Smartwatch,bb28fb32-2342-4a33-9280-98ba80193a06
8417eca4-980e-4d1c-9eb7-c3fff3bb89b2,Jose Coleman,58238 Rose Crescent,North Ronald,842-976-1452,2018-06-11,2018-08-03,2023-10-19,8339,9683,35.0,,aa3d89ee-e8c9-478c-b98b-5135de13d8ba
41e7fa5a-11e9-4b88-a42c-14f3b5129adc,Michael Garcia,5738 Collins Drive,Briggsburgh,+1-452-866-3173,2021-11-29,2024-05-15,2020-09-13,4072,9314,23.0,Smartwatch,10214fb1-a416-45a9-81cd-82edb2c0151b
d9777bce-7475-4c1f-91e6-6ba361bd4b86,Joseph Barr,2382 Scott Viaduct Suite 551,Ronaldview,8242367649,2018-12-15,2023-09-05,2019-03-12,8655,3422,23.0,Smartwatch,8bf65cab-d68c-475b-b642-e2b4e57440b0
413e1e15-9c78-4ba2-bfca-98bc0a234a0d,Haley Grimes,9307 Megan Springs,Port Jasontown,+1-410-518-9465x5214,2018-07-15,2020-06-29,,2556,9680,43.0,,8bfe6441-32f9-47e0-92e3-4128fd0a913e
038799f4-8e7b-4217-a9b0-b9cc764426fc,Joseph Lloyd,7368 Ashley Cove Suite 475,Huberborough,(948)063-5204x79992,2020-05-08,2021-03-16,,6846,6210,42.0,Tablet,d1f68f3c-73dc-40a6-83ac-0bcb2c1f076c
cfa677e1-d515-4c73-8354-4a1668eae217,Angela Ryan,747 Rachel Road,Matthewside,+1-949-528-6018x26056,2018-02-19,2020-05-06,,2180,1583,31.0,Smartwatch,3f310d28-ea9d-46d4-8ed1-880728ad2dbf
9f2d39af-53cf-416a-9946-8ea18b15b913,Jared Smith,050 Jill Expressway,South Katiemouth,(535)407-0743,2018-08-31,,2021-12-09,4576,4628,,,287427a9-7b0e-418a-8e39-294f51f91166
61b05cea-d45a-4207-b337-127a8409d556,Timothy Mueller,3472 Perez Camp,Johntown,(172)775-0083,,,2023-06-12,3095,7459,,,6fdeefeb-a6a8-43a1-984a-dd952b01b68c
cecab510-5730-4380-a0a8-6631cbbf9792,Christine Andrade,139 Stephanie Vista Suite 139,Hicksshire,(475)973-0184,2019-12-26,2022-01-25,,8946,2087,15.0,Smartwatch,a60ca20c-1ca7-4002-b5f7-94012465b963
03719147-4e69-43c5-b358-3115a3a429dd,David Lane DDS,4589 Christopher Knoll Suite 619,Lake Johnny,167.177.1865,2019-06-13,,2022-11-28,5247,9932,,Phone,9b440c74-20c9-4127-a5a6-8f41780005f0
8a78479f-b12a-4946-9fee-1fc29501e3be,Shawna Moses,7557 Shane Center Suite 456,Tammybury,(184)378-1596,2020-09-13,2023-01-12,2019-03-12,2962,4887,18.0,,15ff7386-eea9-4f0f-b5ec-3475803a9128
7b5516b4-831d-4d53-9078-ebc4b41aa39f,Jill Smith,34296 Faith Keys Apt. 907,South Jonathan,(833)036-7919,2018-11-18,2022-06-13,2022-12-27,3395,4803,49.0,Tablet,ef018544-333d-4d81-b0c9-28e90b56ba19
afc5ae5d-30e0-4886-959e-db0ffcafcec1,John Mcdonald,061 Ruben Underpass Suite 689,South Sophia,+1-359-279-5152x55794,,,2023-11-14,5572,9655,,Smartwatch,22e19fa3-02de-4244-b2b4-f3a99437c550
b400209f-1adc-4bd7-a51a-1a40c0d60d1b,Mrs. Pamela Owens,02243 Joseph Track,East Lindsaymouth,510-415-0739x1208,2018-11-26,2023-05-06,2022-02-27,6500,7071,31.0,,fbf19326-965d-4c31-8ddb-302b62bc6980
4d662ce1-6d09-4c10-bc45-53aee8f323f3,Donna Gregory,022 Karen Skyway,North Dianashire,001-601-093-7108x8722,2022-04-16,2024-11-08,2019-09-19,3343,4718,22.0,,b53ab30d-d7ce-436b-8f5e-46f4fdcf7bc9
b6207240-3dd5-4a1e-832d-9966787bab04,Edward Beck,62286 Michelle Shore Suite 159,Williamsside,001-614-836-8787,2018-02-02,2024-03-27,,9214,1558,17.0,Tablet,70f9f4af-ea3d-4ae5-950d-419c43c30ae9
d165e979-b47d-47ab-bfc5-7718eb502746,Kathy Evans,24289 Jessica Tunnel Apt. 216,Katiestad,+1-594-870-8561x0877,2018-12-06,2021-05-25,,3714,5540,16.0,Tablet,df28bdb5-7a85-4b4d-863f-deef523264bd
c1207924-1dda-4248-8df4-0263ee0b8100,Karen Randolph,72774 Wright Rapids Apt. 698,Jonathanborough,701.925.7426x301,2022-01-03,2023-07-06,2021-08-30,3587,4021,49.0,,0aef9802-4fd4-4f03-9a59-71e42a78ca37
